,City,Country,Date,Humidity,Cloudiness,Lat,Long,Temp,WindSpeed
0,St. George's,GD,1626042307,89,75,12.0564,-61.7485,78.48,17.27
1,Pangody,RU,1626042308,66,71,65.85,74.4859,46.8,11.21
2,Teyateyaneng,LS,1626042308,38,1,-29.1472,27.7489,44.83,5.82
3,Ushuaia,AR,1626042224,86,40,-54.8,-68.3,33.46,8.05
4,Atuona,PF,1626042109,80,46,-9.8,-139.0333,77.23,25.08
5,Dunedin,NZ,1626042309,70,89,-45.8742,170.5036,42.42,7.18
6,Posse,BR,1626042274,32,43,-14.0931,-46.3694,69.33,2.93
7,Rikitea,PF,1626042309,82,48,-23.1203,-134.9692,73.71,21.72
8,Tuktoyaktuk,CA,1626042310,87,90,69.4541,-133.0374,48.2,20.71
9,Hithadhoo,MV,1626042308,71,49,-0.6,73.0833,81.19,2.21
10,Khatanga,RU,1626042254,46,90,71.9667,102.5,48.87,7.47
11,Cherskiy,RU,1626042311,35,7,68.75,161.3,80.58,25.14
12,Avarua,CK,1626042311,74,75,-21.2078,-159.775,80.65,11.5
13,Saint-Philippe,RE,1626042311,77,59,-21.3585,55.7679,67.55,11.21
14,Alofi,NU,1626042312,83,7,-19.0595,-169.9187,80.49,10.36
15,Chui,UY,1626042312,70,0,-33.6971,-53.4616,48.33,5.68
16,Lüderitz,NA,1626042313,83,12,-26.6481,15.1594,54.45,4.99
17,San Fernando del Valle de Catamarca,AR,1626042313,62,79,-28.4696,-65.7852,64.58,6.35
18,El Puerto de Santa María,ES,1626042313,89,20,36.5939,-6.233,80.62,8.05
19,Port,CD,1626042314,47,1,-7.0349,29.7638,69.17,6.38
20,Kapaa,US,1626042314,74,40,22.0752,-159.319,84.52,4.0
21,Savé,BJ,1626042315,92,88,8.0425,2.486,73.65,4.79
22,New,LR,1626042315,93,98,6.6518,-10.5932,76.23,2.62
23,Port,CD,1626042316,47,1,-7.0349,29.7638,69.17,6.38
24,Katsuura,JP,1626042316,86,65,35.1333,140.3,78.19,3.04
25,Punta,PH,1626042317,90,65,8.9897,125.34,76.26,4.72
26,Hermanus,ZA,1626042317,68,55,-34.4187,19.2345,53.91,9.28
27,Qaanaaq,GL,1626042318,66,49,77.484,-69.3632,38.95,2.66
28,Aklavik,CA,1626042318,68,100,68.2191,-135.0107,63.32,22.66
29,Nemuro,JP,1626042319,97,100,43.3236,145.575,58.68,8.25
30,Derzhavīnsk,KZ,1626042319,96,5,51.1,66.3167,60.33,14.27
31,Ponta,PT,1626042320,72,100,38.7333,-28.2667,62.28,15.19
32,Laurel,US,1626042320,71,1,39.0993,-76.8483,91.26,4.0
33,Tricase,IT,1626042321,62,0,39.9304,18.3553,75.31,7.36
34,Bredasdorp,ZA,1626042321,81,42,-34.5322,20.0403,45.72,8.05
35,Samarai,PG,1626042322,85,72,-10.6167,150.6667,79.5,13.13
36,Hastings,GB,1626042322,91,100,50.8552,0.5729,61.32,3.89
37,Castro,BR,1626042323,75,14,-24.7911,-50.0119,54.19,2.98
38,Cape,CL,1626042323,73,64,-36.413,-71.9028,47.62,4.0
39,Yumen,CN,1626042323,39,0,40.2833,97.2,72.34,5.3
